岗位,学历,年薪(万),经验(年)
Python开发工程师,本科,25.0,3.5
游戏脚本开发,其他,6.6000000000000005,2.0
Python开发工程师,本科,5.265,0.0
Python,大专,4.26,3.0
Python开发工程师,本科,4.32,2.0
Ic设计工程师,本科,4.55,0.0
Python开发工程师,大专,4.32,2.0
Python开发工程师,大专,5.58,3.0
Python开发工程师,本科,13.799999999999999,3.0
It专业实习生,本科,3.5999999999999996,0.0
Python 车企 重庆,大专,15.0,4.0
Python开发工程师,本科,45.0,3.0
Python开发工程师,本科,15.0,3.0
算法工程师,本科,13.799999999999999,2.0
Python开发工程师,本科,27.0,5.0
Python开发工程师,其他,16.200000000000003,0.0
Python开发工程师,大专,28.0,5.5
Ai大模型项目助理（Python方向）,本科,4.800000000000001,2.0
Python开发工程师,本科,5.9799999999999995,0.0
Python开发工程师,本科,7.8,0.0
Python开发工程师,本科,17.400000000000002,3.0
Python开发工程师,本科,5.52,2.0
Python开发工程师,大专,4.92,2.0
Python开发工程师,本科,22.8,3.0
Python开发工程师,本科,12.5,3.0
Python开发工程师,本科,5.460000000000001,3.0
Python开发工程师,本科,5.699999999999999,3.0
Python开发工程师,本科,13.200000000000001,3.0
Python开发工程师,本科,18.2,4.5
Python开发工程师,本科,7.199999999999999,0.0
Python开发工程师,本科,18.0,2.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,本科,22.5,2.0
Python开发工程师,本科,18.2,4.5
Python开发工程师,本科,25.35,3.0
Python开发工程师,本科,29.25,3.0
Python开发工程师,本科,15.0,3.0
Python开发工程师,本科,20.150000000000002,4.5
Python开发工程师,本科,18.0,2.0
Python开发工程师,本科,25.199999999999996,3.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,4.859999999999999,0.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,其他,9.1,0.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,4.859999999999999,0.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,其他,9.1,0.0
Python开发工程师,大专,5.58,0.0
Python程序员,大专,4.32,1.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,其他,9.1,0.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,15.0,1.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,本科,7.800000000000001,1.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,高中,9.75,2.5
Python开发工程师,大专,14.3,0.0
Python开发工程师,本科,15.0,1.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,4.199999999999999,1.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,其他,9.1,0.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,大专,5.76,2.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,大专,15.0,1.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,5.58,1.0
Python开发工程师,大专,14.3,0.0
Python,本科,18.0,0.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,5.58,1.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,大专,15.0,0.0
Python,本科,18.0,0.0
Python开发工程师,本科,18.0,3.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,本科,4.199999999999999,1.0
Python开发工程师,本科,5.699999999999999,3.0
Python开发工程师,本科,21.0,5.0
Python开发工程师,大专,16.799999999999997,3.0
Python开发工程师,本科,22.099999999999998,4.0
Python开发工程师,硕士,27.0,3.0
Python开发工程师,本科,27.95,1.0
Python开发工程师,本科,21.7,3.0
Python开发工程师,大专,5.58,3.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,本科,5.4,2.0
Python开发工程师,本科,16.799999999999997,2.0
Python开发工程师,本科,27.95,3.0
Python开发工程师,本科,45.0,3.0
Python开发工程师,本科,5.52,2.0
Python开发工程师,本科,19.200000000000003,3.0
Python开发工程师,大专,5.76,2.0
Python,本科,28.799999999999997,5.0
Python开发工程师,本科,24.0,6.0
Python开发工程师,大专,5.4,3.0
Python开发工程师,本科,21.0,5.0
Python量化研究员,本科,17.5,1.0
Python爬虫,本科,7.199999999999999,0.0
Python开发工程师,大专,14.3,0.0
